author_name,author_profile,title,url
David Imel,https://www.theverge.com/authors/david-imel,"Fujifilm GFX100RF review: one sensor, nine cameras",https://www.theverge.com/reviews/633769/fuji-gfx-100rf-review-medium-format-compact-camera
Thomas Ricker,https://www.theverge.com/authors/thomas-ricker,Bluetti’s Handsfree 1 is a solar generator for truly remote work,https://www.theverge.com/reviews/633112/bluetti-handfree-backpack-review-solar-battery-price-specs
Brandon Widder,https://www.theverge.com/authors/brandon-widder,Here are the best deals you can already grab from Amazon’s spring sales event,https://www.theverge.com/tech/632597/amazon-big-spring-sale-2025-prime-day-deals
Brandon Widder,"https://www.theverge.com/authors/brandon-widder,https://www.theverge.com/authors/quentyn-kennemer",The best iPad deals you can get,https://www.theverge.com/21280354/best-ipad-deals-apple
Barbara Krasnoff,https://www.theverge.com/authors/barbara-krasnoff,"Google’s Pixel Buds Pro 2 are now $179, their lowest price yet",https://www.theverge.com/good-deals/633379/google-pixel-buds-pro-2-beats-studio-pro-headphones-deal-sale
Todd Haselton,https://www.theverge.com/authors/todd-haselton,There’s a big sale on the Pixel 9 Pro and Pixel 9 Pro XL right now,https://www.theverge.com/good-deals/632645/google-pixel-9-pro-xl-eero-pro-6e-deal-sale
Brandon Widder,https://www.theverge.com/authors/brandon-widder,Google’s Pixel Tablet is $120 off ahead of Amazon’s spring sales event,https://www.theverge.com/good-deals/631847/google-pixel-tablet-assassins-creed-shadows-deal-sale
Chris Welch,https://www.theverge.com/authors/chris-welch,The best wireless earbuds to buy right now,https://www.theverge.com/21309820/best-wireless-earbuds
Sheena Vasani,https://www.theverge.com/authors/sheena-vasani,Here are the best Kindle deals right now,https://www.theverge.com/21539047/best-amazon-kindle-deals
Brandon Widder,https://www.theverge.com/authors/brandon-widder,Steam’s Spring Sale is taking up to 75 percent off some of our favorite games,https://www.theverge.com/good-deals/629616/steam-spring-sale-cyberpunk-2077-sonos-ray-soundbar-deal
Barbara Krasnoff,https://www.theverge.com/authors/barbara-krasnoff,"Great savings on the EcoFlow Delta Pro 3, which will keep your home powered",https://www.theverge.com/good-deals/631237/ecoflow-delta-3-pro-power-station-apple-ipad-11th-gen-deal-sale
Andrew Liszewski,https://www.theverge.com/authors/andrew-liszewski,Coca-Cola’s new hydrogen-powered vending machine doesn’t need a power outlet,https://www.theverge.com/news/633779/coca-cola-fuji-electric-vending-machine-hydrogen-power
Antonio G. Di Benedetto,"https://www.theverge.com/authors/antonio-g-di-benedetto,https://www.theverge.com/authors/nathan-edwards,https://www.theverge.com/authors/joanna-nelius,https://www.theverge.com/authors/monica-chin",The best laptops you can get,https://www.theverge.com/21250695/best-laptops
Antonio G. Di Benedetto,"https://www.theverge.com/authors/antonio-g-di-benedetto,https://www.theverge.com/authors/nathan-edwards",The best MagSafe and Qi2 chargers,https://www.theverge.com/23505846/best-magsafe-magnetic-chargers-apple-iphone
Brandon Widder,https://www.theverge.com/authors/brandon-widder,Here are the best Apple Watch deals right now,https://www.theverge.com/21289209/best-apple-watch-deals
Victoria Song,https://www.theverge.com/authors/victoria-song,The best fitness trackers to buy right now,https://www.theverge.com/22985108/best-fitness-tracker
